study_hours,sleep_hours,focus_level,stress_level,screen_time,physical_activity,attendance,previous_marks,predicted_performance
4.370861069626263,8.18897028411847,8,3,6.162558516213049,0,55.54990493956574,68.9823818535334,60.19158674840638
9.556428757689245,7.216578198064722,3,6,3.472759859514449,1,90.4117605004611,56.112025364056436,61.274022596870374
7.587945476302646,5.857165697717966,8,5,3.0757490690135865,1,97.38440129822354,57.247699893835005,68.01636558511072
6.387926357773329,8.882770118241691,5,5,3.4479226082209466,1,53.61582376289693,79.40536380847342,60.40207659730916
2.4041677639819286,8.108387035323275,1,5,6.422574718268273,0,97.75576036458507,98.11223990199353,48.06770672303864
2.403950683025824,4.975701636069347,7,1,5.629594277492901,1,76.12882996683726,76.21823203356251,62.33294139275191
1.5227525095137953,9.465563106963055,5,1,2.2963689750722756,1,64.9782838976937,44.61876802389798,48.392864488912686
8.795585311974417,8.935223457539013,6,3,2.21876534733859,0,53.84310376380817,44.53501683124402,65.60968121063976
6.41003510568888,9.698799479751544,6,10,1.6887695479937812,0,75.0312134035209,97.08539325073396,58.382125513287576
7.372653200164409,8.35431705033016,8,4,5.622119037909367,1,89.72577722453744,57.83744741844002,71.8572028468286
1.185260448662222,7.680491175614739,9,5,6.350608635552152,0,85.35432386333491,45.52401916494853,47.41507750586468
9.72918866945795,6.509458217743713,2,2,2.8553249982750284,0,52.51130057319869,75.9426752290229,51.56397713304055
8.491983767203795,9.596370900124079,9,8,1.1466147272163898,0,53.645091768395176,77.41892669741597,74.76442435766255
2.9110519961044856,9.19638333700245,10,2,1.5752016723349915,0,70.14366413163185,78.91028920712128,81.52795809980157
2.636424704863906,4.271312020637136,9,9,7.775020243915213,1,64.76452470239717,56.04412167145248,46.008559240929635
2.650640588680904,4.158201846983512,10,2,3.068113442341942,0,61.619216152802395,40.9066410528685,56.87133730576903
3.7381801866358395,6.258780201268298,10,9,6.384562034866935,0,64.05022494543567,97.9009221672683,55.57370481098176
5.72280788469014,8.863319984690998,7,7,5.372644981979846,0,90.17413716484424,55.05358274146615,67.82176354726764
4.887505167779041,9.923656775889667,1,8,3.673577477570271,0,96.46140268159269,80.56157728315284,64.60067285968884
3.6210622617823773,4.902501346621169,7,2,2.4398108353688857,0,70.25513472637832,82.39779219272258,63.20680484383328
6.506676052501415,7.564784292112811,10,7,1.849704927115845,0,95.30555010662485,76.60044502476914,73.25411481768806
